,0,1,,
213,73.847786,18.703343,,
214,73.847793,18.703638,,
215,73.848528,18.710228,,
216,73.848546,18.710493,,
217,73.848549,18.71054,,
218,73.848546,18.710822,,
219,73.848515,18.71109,,
220,73.848232,18.712399,,
221,73.848171,18.712847,,
222,73.848168,18.713076,,
223,73.848235,18.714598,,
224,73.848264,18.714845,,
225,73.848334,18.715195,,
226,73.848354,18.7153,,
227,73.848506,18.715756,,
228,73.848654,18.716095,,
229,73.849543,18.717622,,
230,73.851144,18.721041,,
231,73.851304,18.721385,,
232,73.851492,18.72174,,
233,73.85171,18.722097,,
234,73.852335,18.723028,,
235,73.852586,18.723401,,
236,73.852759,18.723658,,
237,73.852999,18.724014,,
238,73.853143,18.724308,,
239,73.853314,18.724698,,
240,73.853569,18.725282,,
241,73.854001,18.726267,,
242,73.854019,18.726308,,
243,73.854208,18.726766,,
244,73.854235,18.726831,,
245,73.854375,18.727161,,
246,73.854541,18.727552,,
247,73.854992,18.728693,,
248,73.855043,18.728797,,
249,73.855611,18.730078,,
250,73.855977,18.730898,,
251,73.856015,18.730992,,
252,73.856155,18.731335,,
253,73.856328,18.731879,,
254,73.856976,18.733922,,
255,73.857043,18.734211,,
256,73.85728,18.735501,,
257,73.857388,18.736092,,
258,73.857613,18.737316,,
259,73.857674,18.737552,,
260,73.85768,18.737576,,
261,73.857834,18.737984,,
262,73.858593,18.73936,,
263,73.858744,18.73969,,
264,73.858851,18.739995,,
265,73.858924,18.740329,,
266,73.859088,18.741561,,
267,73.859837,18.7479,,
268,73.859935,18.749746,,
269,73.859964,18.749959,,
270,73.860041,18.75053,,
271,73.860056,18.750664,,
272,73.860045,18.750924,,
273,73.860003,18.751235,,
274,73.859943,18.751508,,
275,73.859922,18.75164,,
276,73.859347,18.753939,,
277,73.859048,18.755155,,
278,73.858993,18.755358,,
279,73.85897,18.755531,,
280,73.858495,18.757582,,
281,73.858444,18.757901,,
282,73.858416,18.758275,,
283,73.85842,18.75856,,
284,73.858455,18.758849,,
285,73.858522,18.759142,,
286,73.858622,18.759453,,
287,73.85868,18.7596,,
288,73.858843,18.759921,,
289,73.859079,18.760285,,
290,73.859327,18.760627,,
291,73.861233,18.76311,,
292,73.861292,18.763192,,
293,73.861399,18.76335,,
294,73.862023,18.764374,,
295,73.862251,18.764763,,
296,73.862446,18.765097,,
297,73.862615,18.765371,,
298,73.862824,18.765645,,
299,73.863006,18.76585,,
300,73.863233,18.766056,,
301,73.865261,18.767539,,
302,73.865743,18.767906,,
303,73.865883,18.768028,,
304,73.866067,18.768209,,
305,73.866325,18.768547,,
306,73.867074,18.769776,,
307,73.869658,18.774638,,
308,73.86997,18.775338,,
309,73.87056,18.777034,,
310,73.870637,18.777303,,
311,73.870691,18.777492,,
312,73.870785,18.77778,,
313,73.870867,18.777977,,
314,73.870985,18.778196,,
315,73.871279,18.778656,,
316,73.871978,18.779962,,
317,73.87207,18.780187,,
318,73.872158,18.780474,,
319,73.872223,18.780764,,
